word,score
ウォン,-0.003522997
カジノ,0.005530089
イメージ,-0.010698257
丁目,0.002753718
悪夢,0.010282635
終息,0.006648448
四半期業績,0.017586139
着工,0.122420788
コンテナ船,-0.010752243
操業率,-0.003100717
領域,-0.002130989
振りかざす,0
さまよう,0.008952476
借り入れる,0.003932732
廃車,-0.013114314
簡易,-0.00387031
隆夫,-0.014308459
コンタクト,0.003350619
誰,-0.001267597
課,0.000706154
調,0.011843013
浦東,-0.007888603
債権,-0.008641843
ホース,0
金属労協,-0.00144835
誠,0.021017455
結腸,0.01162086
説,-0.004251497
特別利益,0.013469487
用心,-0.006194769
強固,-0.015828166
大矢,-0.003384228
ブリュッセル,-0.002045077
迎える,-0.003110662
失格,0.00720299
語,-0.025712048
電界,0.019907448
西条,0.016750255
暖房,0.014114123
トヨタ自動車,-0.02105303
側面,-0.01408647
ファーム,-0.00669727
ポータルサイト,-0.027692771
誌,0.019779726
留める,-0.004134666
さん,-0.014569703
ミツミ電機,-0.018377581
美,0.016247656
片桐,-0.026096625
日本特殊陶業,0.001019188
振舞う,0.004089272
懲役,-0.004685109
林太郎,-0.012415124
名誉,-0.008942541
丸,0.00956932
伝言板,-0.002347313
マグマ,-0.009084422
果汁飲料,-0.014284436
俊治,-0.002353462
向かうだろう,0.010849022
渡部,0.025529802
弘治,0.018148027
逆ざや,-0.015014554
換金,-0.024423641
武装勢力,-0.019140468
財政支出,0.014144345
軽質,0.010779312
圏外,0.003840097
ロング,-0.039065992
浅い,-0.011257686
消費者団体,-0.025795108
発がん,-0.005445748
同士,-0.020707784
体調,0.0150353
今冬,0.014986176
リ,0.009144798
釜石,-0.00876448
バルカン,-0.003817658
旗艦店,0.023776274
練り直す,0.008714536
高所,-0.014572192
まひ,-0.015496782
航空貨物,-0.010401389
予報,0.000599665
ファインダー,0.001580317
誤算,-0.005375795
更生,0.00969025
降下,0.008789448
おり動く,0.028607529
読み出し,-0.003094913
緑地,-0.011846716
高齢,0.028006376
保健,0.02393578
まち,0.034153067
原発事故,0.021811378
まつ,0.019393743
下がらぬ,-0.00375234
眼鏡,0.011195944
本社移転,-0.002514001
傷つく,-0.004624156
作り上げる,-0.021735982
酷暑,0.012256
嵐,-0.015246376
爆発事故,0.007038333
進学,0.004410722
過剰,-0.012813738
限月,0.020856332
都民,0
正和,-0.016520064
アユタヤ,0.006475682
たまる,-0.020167324
信宏,0.016950864
円高不況,-0.011058249
調査団,-0.021785535
リニューアル,0.243184784
透ける,0.004047839
西久保,0.005605938
湯元,-0.009260164
列車,-0.004310668
ブリーフィング,0.007863905
太陽光発電所,-0.011529574
形成,-0.002327931
国際協力,0.019723491
痛み,0.01039512
脱退,0
国家公務員,0.007920462
燃料棒,-0.027893285
売りだろう,-0.007776343
散漫,-0.000241111
はく,0.008841014
仕組み,0.00778703
トウ,-0.015364822
ケース,-0.01164134
メリルリンチ,0.006869711
文字,-0.027041493
一騎打ち,-0.004788507
灰,-0.00531031
灯,-0.029940534
形跡,0.003081542
キャビン,-0.002973932
火,-0.016824004
痛い,0.005766875
在庫,0.010190911
ネットワーク,-0.009152142
ワールドカップ,0.008534203
