,word,score
717,チャラチャラ,-1
718,ディプレッション,-1
719,デカ,-1
720,デプレッション,-1
721,ノイジー,-1
722,ノンセンス,-1
723,バタくさい,-1
724,バタ臭い,-1
725,バラツキ,-1
726,パワー,-1
727,ヒステリック,-1
728,ヒヤヒヤ,-1
729,ヘン,-1
730,ミーハー,-1
731,ミス,-1
732,メチャメチャ,-1
733,メランコリック,-1
734,メリハリ,-1
735,ヤワ,-1
736,ヨレヨレ,-1
737,ワーストワン,-1
738,ワンマン,-1
739,唖然,-1
740,阿呆,-1
741,哀しい,-1
742,哀しむ,-1
743,哀れ,-1
744,愛想,-1
745,悪,-1
746,悪い,-1
747,悪賢い,-1
748,悪達者,-1
749,悪辣,-1
750,扱い,-1
751,安っぽい,-1
752,安普請,-1
753,安物,-1
754,暗い,-1
755,暗む,-1
756,暗愚,-1
757,暗鬱,-1
758,暗澹,-1
759,意気地無し,-1
760,意固地,-1
761,意志,-1
762,意地,-1
763,意地っぱり,-1
764,意地っ張り,-1
765,意地汚い,-1
766,意地張り,-1
767,違和感,-1
768,一巻,-1
769,一苦労,-1
770,一文惜しみ,-1
771,引っ込み,-1
772,引っ込み思案,-1
773,淫蕩,-1
774,淫猥,-1
775,淫靡,-1
776,陰うつ,-1
777,陰気臭い,-1
778,陰険,-1
779,陰惨,-1
780,陰湿,-1
781,陰鬱,-1
782,烏滸がましい,-1
783,迂遠,-1
784,迂愚,-1
785,迂闊,-1
786,雲泥の差,-1
787,影,-1
788,厭,-1
789,厭わしい,-1
790,怨めしい,-1
791,縁,-1
792,汚い,-1
793,汚らしい,-1
794,汚らわしい,-1
795,汚れ,-1
796,汚穢,-1
797,奥行き,-1
798,押し,-1
799,押し付けがましい,-1
800,横柄,-1
801,横様,-1
802,臆病者,-1
803,下らない,-1
804,下賎,-1
805,下等,-1
806,下劣,-1
807,可哀相,-1
808,禍々しい,-1
809,禍禍しい,-1
810,苛酷,-1
811,苛烈,-1
812,過ち,-1
813,過酷,-1
814,我が物顔,-1
815,画一,-1
816,怪しい,-1
817,怪しげ,-1
818,怪異,-1
819,怪奇,-1
820,格好,-1
821,角,-1
822,角張り,-1
823,隔靴掻痒,-1
824,隔心,-1
825,楽しみ,-1
826,割に,-1
827,恰好,-1
828,寒々,-1
829,寒ざむ,-1
830,寒寒,-1
831,勘弁,-1
832,感情,-1
833,甘,-1
834,甘ったれる,-1
835,緩い,-1
836,間,-1
837,間延び,-1
838,閑散,-1
839,頑愚,-1
840,頑冥,-1
841,頑迷,-1
842,顔負け,-1
843,危うい,-1
844,危ない,-1
845,危なっかしい,-1
846,奇々怪々,-1
847,奇っ怪,-1
848,奇奇怪怪,-1
849,奇態,-1
850,希薄,-1
851,忌まわしい,-1
852,忌わしい,-1
853,機械,-1
854,気ぜわしい,-1
855,気むずかしい,-1
856,気弱,-1
857,気取っ,-1
858,気色,-1
859,気早,-1
860,気短,-1
861,気難しい,-1
862,気付き,-1
863,気分,-1
864,気忙しい,-1
865,気味が悪い,-1
866,稀薄,-1
867,儀式張っ,-1
868,戯け,-1
869,疑い深い,-1
870,疑わしい,-1
871,疑問,-1
872,詰屈,-1
873,逆賊,-1
874,泣き所,-1
875,泣き虫,-1
876,居丈高,-1
877,虚仮,-1
878,許し,-1
879,凶漢,-1
880,凶暴,-1
881,凶猛,-1
882,強情,-1
883,強情っぱり,-1
884,強欲,-1
885,怯懦,-1
886,恐るべき,-1
887,恐れ,-1
888,恐れ多い,-1
889,狂わしい,-1
890,狂人,-1
891,狂暴,-1
892,狂乱,-1
893,狭苦しい,-1
894,狭量,-1
895,狭隘,-1
896,脅かす,-1
897,興味,-1
898,驚き,-1
899,仰々しい,-1
900,仰仰しい,-1
901,極貧,-1
902,僅少,-1
903,近目,-1
904,銀流し,-1
905,苦,-1
906,苦々しい,-1
907,苦し紛れ,-1
908,苦肉の策,-1
909,愚か,-1
910,愚かしい,-1
911,愚人,-1
912,愚図,-1
913,愚直,-1
914,愚鈍,-1
915,愚物,-1
916,愚昧,-1
917,愚劣,-1
918,空々しい,-1
919,空しい,-1
920,空回り,-1
921,空恐ろしい,-1
922,空空しい,-1
923,空疎,-1
924,空中,-1
925,屈伏,-1
926,屈服,-1
927,型,-1
928,形無し,-1
929,軽々しい,-1
930,軽はずみ,-1
931,軽視,-1
932,軽蔑,-1
933,軽躁,-1
934,激越,-1
935,隙,-1
936,欠陥,-1
937,喧しい,-1
938,喧嘩腰,-1
939,堅苦しい,-1
940,堅物,-1
941,嫌,-1
942,嫌み,-1
943,嫌味,-1
944,見えっ張り,-1
945,見ぐるしい,-1
946,見づらい,-1
947,見にくい,-1
948,見下す,-1
949,見苦しい,-1
950,険しい,-1
951,険悪,-1
952,険難,-1
953,厳つい,-1
954,厳酷,-1
955,幻怪,-1
956,言語道断,-1
957,個性,-1
958,古めかしい,-1
959,古臭い,-1
960,固陋,-1
961,姑息,-1
962,胡散臭い,-1
963,誇大,-1
964,後の祭り,-1
965,御,-1
966,御機嫌,-1
967,御大層,-1
968,効き,-1
969,厚かましい,-1
970,厚ぼったい,-1
971,厚顔,-1
972,口,-1
973,口惜しい,-1
974,口先,-1
975,向う見ず,-1
976,好い加減,-1
977,好きもの,-1
978,好き嫌い,-1
979,巧言令色,-1
980,慌しい,-1
981,慌ただしい,-1
982,甲斐性,-1
983,荒々しい,-1
984,荒くれ,-1
985,荒っぽい,-1
986,荒らか,-1
987,荒荒しい,-1
988,荒削り,-1
989,荒誕,-1
990,荒唐,-1
991,高慢,-1
992,高慢ちき,-1
993,剛愎,-1
994,合わせ,-1
995,酷,-1
996,酷い,-1
997,酷しい,-1
998,酷薄,-1
999,酷烈,-1
1000,腰砕け,-1
1001,腰弱,-1
1002,腰抜け,-1
1003,今ひとつ,-1
1004,今一つ,-1
1005,恨めしい,-1
1006,根性,-1
1007,根無し,-1
1008,差,-1
1009,差し支える,-1
1010,差し出がましい,-1
1011,差支える,-1
1012,差別,-1
1013,細細,-1
1014,在り来り,-1
1015,罪ぶかい,-1
1016,罪作り,-1
1017,罪深い,-1
1018,策士,-1
1019,擦れっ枯らし,-1
1020,殺人,-1
1021,殺伐,-1
1022,殺伐と,-1
1023,雑,-1
1024,雑然,-1
1025,惨い,-1
1026,惨たらしい,-1
1027,惨烈,-1
1028,惨憺,-1
1029,散々,-1
1030,散散,-1
1031,酸鼻,-1
1032,残り惜しい,-1
1033,残り多い,-1
1034,残刻,-1
1035,残忍,-1
1036,仕方,-1
1037,使い,-1
1038,刺々しい,-1
1039,刺刺しい,-1
1040,子供,-1
1041,子供だまし,-1
1042,子供騙し,-1
1043,思いきり,-1
1044,思い切り,-1
1045,思わしくない,-1
1046,支障,-1
1047,脂,-1
