,word,score
776,ぶり返し,0
777,へそ,0
778,へったくれ,-1
779,へっぽこ,-1
780,へなちょこ,-1
781,へのかっぱ,0
782,へぼ,-1
783,へま,-1
784,へんちくりん,-1
785,へんてこ,-1
786,へんとう炎,-1
787,べたぼれ,1
788,べた褒め,1
789,べっぴん,1
790,ぺしゃんこ,-1
791,ほお笑み,0
792,ほか,0
793,ほくほく顔,1
794,ほこり,-1
795,ほころび,-1
796,ほっぺた,0
797,ほとぼり,-1
798,ほとんど,0
799,ほの字,1
800,ほほ笑み,1
801,ほら貝,0
802,ほり,0
803,ほろ酔い気分,1
804,ほんま,0
805,ぼくたち,0
806,ぼけ,-1
807,ぽか,-1
808,まくら探し,0
809,まぐれ,0
810,まごころ,1
811,まじめ,1
812,まじり,-1
813,まずさ,-1
814,まぜこぜ,0
815,まちがい,-1
816,まちづくり,0
817,まっさら,1
818,まとも,1
819,まどらか,1
820,まどろみ,1
821,まね,0
822,まめ,1
823,まやかし,-1
824,まゆつば物,-1
825,まるまる,0
826,まれ,0
827,まろやか,1
828,まんざら,0
829,まんま,0
830,まん延,-1
831,みずから,0
832,みずみずしさ,1
833,みみずばれ,-1
834,むくみ,-1
835,むし歯,-1
836,むずかしさ,-1
837,むだ,-1
838,むちゃくちゃ,-1
839,むち打ち,-1
840,むなしさ,-1
841,むやみ,-1
842,むやみやたら,-1
843,めぐり,0
844,めし,0
845,めちゃ,-1
846,めちゃくちゃ,-1
847,めちゃめちゃ,-1
848,めったやたら,-1
849,めった打ち,0
850,めでたさ,1
851,めど,0
852,めまい,-1
853,めんどう,-1
854,もうけ口,1
855,もうけ仕事,1
856,もうろく,-1
857,もだえ,-1
858,もちつき,0
859,もてなし,0
860,もどかしさ,-1
861,ものぐさ,-1
862,ものづくり,0
863,もの悲しさ,-1
864,もみ,0
865,もめ事,-1
866,もやもや,-1
867,もろさ,-1
868,もろ差し,0
869,やくざ,-1
870,やけ,-1
871,やけくそ,-1
872,やけっぱち,-1
873,やけっ腹,-1
874,やけど,-1
875,やさしさ,1
876,やたけ心,0
877,やたら,0
878,やっつけ仕事,-1
879,やつら,0
880,やぶ蛇,-1
881,やみくも,0
882,やりかた,0
883,やりがい,1
884,やりきれなさ,-1
885,やりたい放題,-1
886,やり過ぎ,-1
887,やり直し,0
888,やるせなさ,-1
889,やる気,1
890,やわらかさ,1
891,やんちゃ,0
892,ゆがみ,-1
893,ゆとり,1
894,ゆるやか,0
895,よがり声,0
896,よくよく,0
897,よこしま,-1
898,よさ,1
899,よしみ,0
900,よそ事,-1
901,よそ者,-1
902,よどみ,-1
903,よりどころ,0
904,よろめき,0
905,らい,-1
906,らしさ,1
907,ろくすっぽ,-1
908,ろくろく,-1
909,わいせつ行為,-1
910,わかりやすさ,1
911,わがまま,-1
912,わき,0
913,わき腹,0
914,わき役,-1
